Fish,"Sex (1 = M, 2 = F)",Standard length (mm),Brain mass (mg),"River (1 = Marrianne, 2 = Aripo)","Predators (1 = no, 2 = yes)"
1,2,18,4,1,1
2,1,14,2.9,1,1
3,2,15,3.4,1,1
4,1,14.7,4.9,1,1
5,2,18.2,3.1,1,1
6,2,17.7,3.7,1,1
7,1,13,2.8,1,1
8,2,18.8,4.8,1,1
9,2,18,4.8,1,1
10,2,18.2,2.6,1,1
11,2,12,2.4,1,1
12,2,17.1,3.2,1,1
13,1,13.5,3.4,1,1
14,1,13,2.6,1,1
15,2,16.1,3.7,1,1
16,1,14,4.1,1,1
17,1,14.2,3,1,1
18,1,14.2,2.9,1,1
19,1,11.8,2.4,1,2
20,2,15.8,3.5,1,1
21,1,13.5,2.6,1,1
22,1,13.3,3.8,1,2
23,2,14.2,2.7,1,1
24,1,13.5,3.1,1,1
25,1,13.1,3.8,1,2
26,2,16.3,3.4,1,1
27,1,12.9,3.5,1,1
28,1,13.6,3,1,2
29,2,15.1,4.2,1,1
30,1,15.3,4.7,1,1
31,1,12.4,3.3,1,2
32,2,14.4,2.3,1,1
33,1,14.2,3.7,1,1
34,1,13.3,2.8,1,2
35,2,14.5,2.7,1,1
36,1,13.1,2,1,1
37,2,19.5,4.1,1,1
38,1,12,3.4,1,2
39,1,12,3,1,1
40,2,17.5,3.3,1,1
41,1,11.7,3.9,1,2
42,1,12.4,3.6,1,1
43,2,12.8,3.1,1,1
44,1,12,3.6,1,2
45,1,13.4,2.5,1,1
46,2,18.2,3.1,1,1
47,1,11.3,3.1,1,2
48,1,11.4,2.8,1,2
49,2,18.5,3.4,1,2
50,2,18,3.6,1,1
51,1,11.3,2.6,1,2
52,1,13,1.7,1,1
53,2,15,2.8,1,2
54,2,18,3,1,1
55,2,15.4,3.6,1,2
56,1,12,2.1,1,1
57,2,14.8,2.7,1,2
58,2,15.4,3.9,1,2
59,1,11.3,2.7,1,2
60,2,10.7,1.8,1,1
61,2,12,3,1,2
62,1,10.6,2.1,1,2
63,1,11.4,1.8,1,2
64,1,14,3.8,1,1
65,2,16.4,3.2,1,2
66,2,12.3,1.7,1,2
67,2,11.6,3.5,1,1
68,2,10,2.1,1,2
69,1,13.6,4.2,1,1
70,1,11.7,1.8,1,2
71,2,12,1.3,1,2
72,2,15.4,3,1,1
73,2,13.3,2.5,1,2
74,2,16,2.3,1,1
75,1,11.6,2.4,2,2
76,1,12.2,2.9,2,2
77,1,12.6,3,2,2
78,1,13,3.1,2,2
79,1,11.6,2.2,2,2
80,1,13.1,3.8,2,2
81,1,13,3,2,2
82,1,12.8,2.2,2,2
83,1,10.8,2.1,2,2
84,1,10.8,2,2,2
85,1,12,2.1,2,2
86,1,13.1,2.3,2,2
87,1,11.8,2.6,2,2
88,2,22.1,4.8,2,2
89,1,12.2,2.7,2,2
90,2,16.4,3.2,2,2
91,1,11.3,2.5,2,2
92,2,15.4,2.9,2,2
93,2,15,2.7,2,2
94,2,17.8,4.1,2,2
95,1,12.7,2.8,2,2
96,2,16.7,3.6,2,2
97,1,12.2,2.4,2,2
98,2,19.2,4.5,2,2
99,1,10.6,1.9,2,2
100,2,15.5,3.1,2,2
101,1,11.1,2.8,2,2
102,2,16.3,2.8,2,2
103,1,14.4,3.6,2,2
104,2,16.9,3.1,2,2
105,1,10.6,1.9,2,2
106,2,12.9,2.4,2,2
107,1,12.3,2.5,2,2
108,1,12,2.6,2,2
109,1,13,3.1,2,2
110,2,15.5,3.2,2,2
111,1,12.1,2.1,2,2
112,1,11.9,2.1,2,2
113,2,13,1.8,2,2
114,2,13.6,2.9,2,2
115,1,12.3,2.1,2,2
116,2,13.4,2.4,2,2
117,2,14,2.5,2,2
118,2,14.8,2.6,2,2
119,2,15,2.6,2,2
120,2,10.5,2,2,2
121,2,9.7,1.8,2,2
122,1,12.2,2.5,2,1
123,1,13.3,2.9,2,1
124,2,19,3.3,2,1
125,1,13.2,2.2,2,1
126,2,14.1,2,2,1
127,2,19,3.5,2,1
128,1,14.6,2.7,2,1
129,2,20,4,2,1
130,1,14,2.4,2,1
131,2,13.2,2.9,2,1
132,1,12.2,2.4,2,1
133,2,16,3.1,2,1
134,1,15.5,2.5,2,1
135,2,18.5,2.8,2,1
136,1,15.1,3.6,2,1
137,2,18.4,3.4,2,1
138,1,13.6,2.8,2,1
139,2,15.7,2.9,2,1
140,1,14.2,2.9,2,1
141,2,18.3,3.4,2,1
142,1,14,3.2,2,1
143,2,15.9,2.6,2,1
144,1,13.9,3,2,1
145,2,15.3,2.8,2,1
146,1,13.8,3.4,2,1
147,2,17,2.9,2,1
148,1,13.5,2.4,2,1
149,2,17.6,3.8,2,1
150,1,13.3,2.5,2,1
151,2,13.4,2.5,2,1
