Fish,"Predators (1=no, 2=yes)","Sex (1 = M, 2 = F)",Standard length (mm),Brain mass (mg),                                                                                                                                          
1,1,2,28.7,7.2,
2,1,1,14.1,4,
3,1,2,26.9,4.4,
4,1,1,14.8,2.5,
5,1,2,26.3,6.6,
6,1,1,14.1,3.2,
7,1,1,13.9,4,
8,1,2,27.8,7.2,
9,1,1,14.1,2.6,
10,1,1,14.8,2.4,
11,1,2,27.4,9.2,
12,1,2,31.9,8,
13,1,1,13.8,4.2,
14,1,2,27.7,5.5,
15,1,2,26.6,6.1,
16,1,1,15.5,3.9,
17,1,1,13.7,3.1,
18,1,1,12.5,4.2,
19,1,2,30.7,4.5,
20,1,1,12.3,1.8,
21,1,2,29.2,6.4,
22,1,1,13.1,1.5,
23,1,1,13,2.2,
24,1,1,13.8,2.1,
25,1,2,26.4,4.3,
26,1,1,14.4,2.6,
27,1,1,12.9,3,
28,1,1,14,2.8,
29,1,1,15.4,3.5,
30,1,1,13.5,2.6,
31,1,1,13.2,2.4,
32,1,1,14.5,3,
33,1,1,13.4,2.8,
34,1,1,13.2,3.5,
35,1,2,29.5,7.6,
36,1,1,11.8,2.1,
37,1,2,30,6.3,
38,1,1,14.6,3.3,
39,1,1,13.6,3,
40,1,1,14.5,2.2,
41,2,1,15,6.3,
42,2,1,15.3,4.1,
43,2,1,14.1,3.7,
44,2,1,14.5,7,
45,2,2,32,5.6,
46,2,1,14,2.5,
47,2,2,21.4,5.5,
48,2,2,28,4.2,
49,2,1,14,2.4,
50,2,2,28.1,6.9,
51,2,1,14,5,
52,2,2,27.8,6,
53,2,1,14.8,4,
54,2,1,13.3,3.5,
55,2,2,28.2,6.3,
56,2,1,13.4,4.1,
57,2,1,15,5.4,
58,2,2,29,6.9,
59,2,1,14.5,5.2,
60,2,1,14.7,2.8,
61,2,2,28,6.2,
62,2,2,30,7.2,
63,2,1,13.8,3.1,
64,2,2,27.6,7.5,
65,2,1,13.1,2.5,
66,2,1,15.1,2.4,
67,2,2,25.6,7.1,
68,2,1,12.7,4,
69,2,1,16.4,3.5,
70,2,1,14.8,3,
71,2,2,31.8,8.1,
72,2,1,16,4.7,
73,2,1,13.7,3,
74,2,1,17.1,3.8,
